year,hid,province,district,zone,starch,pulses,meat,vegetables,oil,fruits,milk,sugar,FCS,FCG,FS_final,DDS,GDDS
2018,3105,3,303,3,7,7,0,7,7,2,0,7,51.0,3,1,5,2
2018,3106,3,305,4,7,7,0,5,7,3,7,4,76.5,3,1,6,2
2018,3107,2,203,4,7,7,0,7,7,0,0,0,45.5,3,2,4,1
2018,3108,3,305,4,7,7,0,7,7,2,7,2,76.5,3,1,6,2
2018,3109,5,507,8,7,7,0,7,7,3,7,7,80.0,3,1,6,2
2018,3110,4,401,7,4,7,0,6,4,0,0,0,37.0,3,1,4,1
2018,3111,2,203,4,7,7,0,4,7,2,0,0,44.5,3,2,5,2
2018,3112,2,202,5,7,7,0,0,2,0,3,3,49.5,3,1,4,1
2018,3113,5,507,8,7,7,0,7,0,0,0,0,42.0,3,1,3,1
2018,3114,5,507,8,7,7,0,7,7,7,0,3,54.0,3,1,5,2
2018,3115,2,207,4,4,7,0,5,5,0,0,0,36.5,3,2,4,1
2018,3116,3,307,1,7,7,1,6,7,3,0,2,52.5,3,2,6,2
2018,3117,3,305,4,7,7,0,7,7,0,0,5,48.0,3,2,4,1
2018,3118,3,306,1,7,3,3,7,7,0,0,7,49.0,3,1,5,2
2018,3119,2,203,4,7,7,0,0,7,0,3,3,52.0,3,1,4,1
2018,3120,2,205,4,7,7,0,5,5,0,7,0,70.5,3,1,5,2
2018,3121,4,403,3,7,7,0,0,7,1,2,7,51.0,3,1,5,2
2018,3122,4,404,6,7,7,4,7,4,2,5,2,83.0,3,1,7,3
2018,3123,4,403,3,7,7,0,7,1,0,0,0,42.5,3,1,4,1
2018,3124,2,207,4,7,7,0,7,4,0,3,4,58.0,3,1,5,2
2018,3125,4,403,3,7,7,0,7,2,0,3,1,55.5,3,1,5,2
2018,3126,4,404,6,7,7,1,5,7,3,0,1,51.0,3,1,6,2
2018,3127,3,307,1,7,7,4,7,7,3,0,7,68.0,3,2,6,2
2018,3128,4,402,6,7,7,0,7,7,3,2,7,60.0,3,1,6,2
2018,3129,3,305,4,7,7,2,6,3,0,5,0,70.5,3,1,6,2
2018,3130,3,304,4,7,3,0,4,0,0,0,0,27.0,2,3,3,1
2018,3131,2,205,4,7,7,0,7,4,0,0,0,44.0,3,2,4,1
2018,3132,3,304,3,7,5,0,7,4,3,1,5,47.5,3,1,6,2
2018,3133,2,207,4,5,4,0,6,4,0,0,3,31.5,2,3,4,1
2018,3134,4,401,7,7,7,0,6,7,3,0,0,47.5,3,1,5,2
2018,3135,4,401,7,7,7,0,0,5,0,0,0,37.5,3,1,3,1
2018,3136,2,208,5,7,7,0,7,4,0,0,2,45.0,3,2,4,1
2018,3137,2,205,4,7,7,0,5,2,2,0,0,43.0,3,1,5,2
2018,3138,5,505,12,7,7,0,7,7,2,7,7,79.0,3,2,6,2
2018,3139,3,307,1,7,7,0,5,7,2,0,7,49.0,3,1,5,2
2018,3140,3,305,4,7,7,2,7,7,2,0,4,57.5,3,1,6,2
2018,3141,3,306,1,7,2,0,7,0,0,0,7,30.5,2,3,3,1
2018,3142,4,401,7,7,7,1,4,7,3,0,7,53.0,3,2,6,2
2018,3143,2,208,5,4,7,4,7,5,7,3,7,77.0,3,1,7,3
2018,3144,2,208,5,4,7,0,5,7,0,0,0,37.5,3,1,4,1
2018,3145,4,405,7,4,7,0,7,2,0,0,2,38.0,3,1,4,1
2018,3146,2,208,5,4,4,0,7,0,0,1,1,31.5,2,3,4,1
2018,3147,4,403,3,7,7,0,3,1,0,0,0,38.5,3,1,4,1
2018,3148,4,401,7,7,7,0,7,7,6,7,7,83.0,3,1,6,2
2018,3149,4,405,9,7,7,2,7,7,7,2,3,70.0,3,1,7,3
2018,3150,4,404,6,7,7,0,7,7,4,3,7,65.0,3,1,6,2
2018,3151,4,402,4,7,5,2,7,7,2,2,7,61.0,3,1,7,3
2018,3152,3,307,1,7,7,3,7,7,3,3,7,76.0,3,1,7,3
2018,3153,4,402,4,7,6,1,7,7,5,4,7,71.0,3,1,7,3
2018,3154,3,306,1,7,3,2,7,7,4,0,7,49.0,3,1,6,2
2018,3155,3,302,1,7,7,3,7,4,4,7,7,91.5,3,1,7,3
2018,3156,2,207,5,7,7,3,7,7,4,3,7,77.0,3,1,7,3
2018,3157,3,302,1,7,7,0,4,4,1,2,7,53.5,3,1,6,2
2018,3158,4,405,7,7,7,0,7,5,2,7,5,77.0,3,1,6,2
2018,3159,4,402,4,7,7,1,7,3,0,0,0,47.5,3,1,5,2
2018,3160,2,206,5,7,7,7,7,7,7,7,7,112.0,3,1,7,3
2018,3161,3,304,2,7,7,0,3,0,0,0,0,38.0,3,1,3,1
2018,3162,4,402,6,7,7,0,7,3,0,0,0,43.5,3,1,4,1
2018,3163,4,401,7,7,7,0,4,1,0,0,0,39.5,3,1,4,1
2018,3164,2,208,5,7,7,0,1,2,0,0,0,37.0,3,1,4,1
2018,3165,2,201,5,7,7,0,0,7,2,0,0,40.5,3,1,4,1
2018,3166,3,304,4,7,7,0,7,3,1,0,0,44.5,3,1,5,2
2018,3167,3,302,1,7,3,0,7,2,0,0,1,31.5,2,3,4,1
2018,3168,3,304,3,7,7,0,7,0,0,0,2,43.0,3,1,3,1
2018,3169,4,402,4,7,7,0,7,3,3,0,2,47.5,3,1,5,2
2018,3170,4,405,9,7,7,0,7,7,0,0,0,45.5,3,1,4,1
2018,3171,3,304,3,7,7,0,7,3,0,7,0,71.5,3,1,5,2
2018,3172,4,404,6,7,7,0,4,4,0,0,2,42.0,3,1,4,1
2018,3173,3,307,1,7,7,1,7,7,3,0,4,54.5,3,2,6,2
2018,3174,2,204,4,7,7,0,7,7,0,0,0,45.5,3,2,4,1
2018,3175,2,206,5,7,7,0,6,5,0,7,3,73.0,3,2,5,2
2018,3176,2,206,5,7,7,0,7,7,3,0,5,51.0,3,1,5,2
2018,3177,2,203,5,7,7,0,1,6,0,0,0,39.0,3,1,4,1
