year,hhid,province,district,zone,starch,pulses,meat,vegetables,oil,fruits,milk,sugar,o_fcs
2018,uuid:c0b3ae63-0a65-4dc5-ba9e-4c68d9927cb6,3,301,1,6,7,1,7,7,0,7,7,79.0
2018,uuid:71b33c19-fe4c-4cb0-a278-8024a119a133,2,208,5,7,7,0,7,7,0,0,4,47.5
2018,uuid:bad82ab6-39e2-4148-a852-6514ccef7b18,2,206,5,7,7,2,7,3,2,0,0,53.5
2018,uuid:2b7c7542-2949-40bc-9008-29d491da69e6,2,203,4,7,7,0,7,7,3,3,3,62.0
2018,uuid:51b27c2c-45db-494f-9aed-bb52c3307758,3,303,3,7,7,0,6,3,1,0,2,44.5
2018,uuid:c0fa0f12-e5c4-4253-b14e-9cebf71c0ce7,2,207,5,7,7,0,7,7,0,0,2,46.5
2018,uuid:1948fa42-12a1-4ba3-b67a-223542988799,3,303,3,7,7,0,4,0,0,0,0,39.0
2018,uuid:846ad208-eda8-424b-baf4-c33383681ec7,2,203,2,7,7,0,7,2,0,0,0,43.0
2018,uuid:941cb2b2-2285-43a9-ba2f-8bfe7789a236,2,204,5,7,7,3,7,4,7,0,0,63.0
2018,uuid:e8ca1cba-e46c-40d0-b829-1f2d8e20a6b7,3,301,1,7,5,2,6,7,2,7,7,80.0
2018,uuid:6b8ae45b-5897-49aa-b34b-084e6e86cb1b,4,404,6,7,7,1,7,7,1,7,7,82.0
2018,uuid:aa13d6cb-40a2-4252-bdaf-c531557ac8a2,3,305,4,7,7,1,7,5,1,3,0,61.5
2018,uuid:4245e33b-314b-41a5-ab19-02568a22a394,2,207,4,7,7,0,5,3,0,7,0,69.5
2018,uuid:c4161c86-63da-4985-891f-2ac2c3cc9cfb,2,203,5,7,7,4,7,7,0,0,7,65.0
2018,uuid:676ddb94-7666-4bff-9f85-1d0b6a8156c8,3,307,1,7,7,1,4,7,0,0,0,46.5
2018,uuid:f5e7b0c8-7f85-4377-a1dc-3c7013d61b76,3,305,4,7,7,0,7,5,2,7,0,74.5
2018,uuid:a24a9c2b-001e-4ad2-b349-a96042955958,2,206,5,7,7,0,6,6,0,0,3,45.5
2018,uuid:03554212-3841-48fd-b53e-a124dda74a6b,5,503,9,7,7,0,7,4,0,0,3,45.5
2018,uuid:9812d191-d1fb-42c2-808e-b358904efe3c,2,208,5,7,7,0,7,7,7,0,7,56.0
2018,uuid:77d7307c-3829-4c11-9179-729f7e7b2f12,2,201,5,7,7,0,7,4,2,0,0,46.0
2018,uuid:7efb049c-88af-445b-a2cf-2e7bd555118a,4,403,6,7,7,0,7,2,0,0,0,43.0
2018,uuid:a00c4fbd-09c9-466c-a040-8782ef5b3def,4,403,3,7,7,0,7,0,0,0,0,42.0
2018,uuid:84a6c702-356f-41bf-ae56-db74a8de8966,2,207,4,7,7,0,7,7,0,0,0,45.5
2018,uuid:9e31104b-464c-4d43-b9fc-f34277196e01,4,401,7,7,7,0,3,3,0,4,0,55.5
2018,uuid:7e07c394-3697-4325-8652-6e5b57363fef,3,303,3,7,7,0,7,3,2,0,7,49.0
2018,uuid:b914d314-662a-4326-b60a-343c77a6cc81,4,402,4,7,7,4,5,7,0,0,0,59.5
2018,uuid:169ea7fa-399a-4678-89fe-7cf0dd028e6a,3,301,2,6,6,0,4,4,0,0,1,36.5
2018,uuid:1699fa86-4f7e-40eb-a22e-d715102dc58a,3,302,1,7,2,0,5,3,0,0,0,26.5
2018,uuid:194e50b2-d9f3-4cb2-bdaf-5bbcce7ac71a,2,205,4,7,5,0,7,3,1,3,2,51.5
2018,uuid:c5d1b22a-ea8b-47ab-946e-65722706ce7a,2,208,5,1,5,0,6,4,0,0,0,25.0
2018,uuid:c71a7e7b-b06e-4467-93f5-6a2d9d1ad7d7,3,301,1,1,3,0,7,0,0,0,0,18.0
2018,uuid:48249a11-44d3-4d87-8be4-fb95d5e39471,3,301,4,6,4,0,3,1,0,0,0,27.5
2018,uuid:18319873-d94c-4fa8-9f0d-fd6dab50f0bd,2,202,5,7,7,0,7,7,0,0,7,49.0
2018,uuid:baa8906a-b24f-4722-8748-1810e5f91efd,2,202,5,7,7,0,7,7,3,0,3,50.0
2018,uuid:0c39d633-eb4c-4c6b-8db9-6d3b9f02bf54,3,306,1,7,5,4,7,7,3,0,5,61.0
2018,uuid:cbebff92-0525-4dd4-9234-a9dff0a31dbb,3,307,1,7,7,0,7,7,2,2,3,57.0
2018,uuid:de7f267c-a924-4c86-9ed0-0f13e6d13f53,2,205,4,7,7,5,7,7,0,2,0,73.5
2018,uuid:40509a8b-d073-419b-a749-39dafff6ef1e,2,208,5,7,7,3,7,7,3,7,7,92.0
2018,uuid:68beca93-19e1-4f66-ac07-379b969cc9cb,4,404,3,7,7,0,5,2,0,0,0,41.0
2018,uuid:57f42a24-858b-4c51-aa54-37457a72237f,3,304,3,7,4,0,7,1,0,0,0,33.5
2018,uuid:7fa93a73-96df-4ac0-9d4d-8737e65bfddc,2,206,5,7,7,0,7,7,2,0,0,47.5
2018,uuid:ad4964c9-1fff-46bd-9838-2b7d8e5b5c4e,4,403,3,7,7,0,7,4,7,1,7,58.5
2018,uuid:df294293-1d27-4874-a53b-38c9f21e5659,2,205,2,7,1,0,7,3,0,0,0,25.5
2018,uuid:bb544859-f4fa-42eb-9869-87ed97b2acb7,3,303,3,7,7,0,7,7,2,0,7,51.0
2018,uuid:ac507e49-6b5d-42b8-83cd-a09ac7b4c19c,3,305,4,7,7,0,5,7,3,7,4,76.5
2018,uuid:f47a5e94-9e32-4cf5-9b93-8d2a700197a9,2,203,4,7,7,0,7,7,0,0,0,45.5
2018,uuid:6f999732-119b-4313-b5c4-ed957825e350,3,305,4,7,7,0,7,7,2,7,2,76.5
2018,uuid:19315a53-b089-4b4c-aa03-84b989a23565,5,507,8,7,7,0,7,7,3,7,7,80.0
2018,uuid:9c13c6f4-bc8e-44f1-a7e5-75e7e6d585c5,4,401,7,4,7,0,6,4,0,0,0,37.0
2018,uuid:e9971049-0540-4753-8318-7824ec42791f,2,203,4,7,7,0,4,7,2,0,0,44.5
2018,uuid:28145ebe-e96c-4a4c-89a9-33e43328cc3b,2,202,5,7,7,0,0,2,0,3,3,49.5
2018,uuid:94e14731-eef8-46f7-abae-a6483bbc671d,5,507,8,7,7,0,7,0,0,0,0,42.0
2018,uuid:62beb5a6-48b7-4b73-9ee0-8e49996ed752,5,507,8,7,7,0,7,7,7,0,3,54.0
2018,uuid:d793fe72-8721-4cc9-9569-df94e93aed63,2,207,4,4,7,0,5,5,0,0,0,36.5
2018,uuid:4e743eb4-7074-4b5e-b1a7-be7ce39dbf32,3,307,1,7,7,1,6,7,3,0,2,52.5
2018,uuid:742e1b21-0707-4735-9b6f-d07ac56eb232,3,305,4,7,7,0,7,7,0,0,5,48.0
2018,uuid:8e87e1d5-6592-40aa-80a8-d9cde9c1baef,3,306,1,7,3,3,7,7,0,0,7,49.0
2018,uuid:f6be07ab-8a67-40ee-9c0f-07a2d79a123b,2,203,4,7,7,0,0,7,0,3,3,52.0
2018,uuid:986f2c61-1a68-4081-8bcd-de31788cf91a,2,205,4,7,7,0,5,5,0,7,0,70.5
2018,uuid:9d53b7c1-cbe2-4fb9-b4a2-c1b38a58ae32,4,403,3,7,7,0,0,7,1,2,7,51.0
2018,uuid:fd475e44-adb4-4ff2-ac67-8b0ae2884b6d,4,404,6,7,7,4,7,4,2,5,2,83.0
2018,uuid:3b073755-7433-47d9-982c-ed94de21cfe4,4,403,3,7,7,0,7,1,0,0,0,42.5
2018,uuid:18d59093-14f7-4674-a57d-569af9e5616c,2,207,4,7,7,0,7,4,0,3,4,58.0
2018,uuid:60feff1f-4740-4f35-b149-3d0a162b9c81,4,403,3,7,7,0,7,2,0,3,1,55.5
2018,uuid:b0c0244c-312b-40dd-9852-b13c8f9b680f,4,404,6,7,7,1,5,7,3,0,1,51.0
2018,uuid:4fcc9bb7-acfc-47f3-a938-9be747513994,3,307,1,7,7,4,7,7,3,0,7,68.0
2018,uuid:ec7754b9-a8d3-4400-b36f-c4345a3d1674,4,402,6,7,7,0,7,7,3,2,7,60.0
2018,uuid:a78a4673-95cf-480c-acd7-b701fe0a6bf9,3,305,4,7,7,2,6,3,0,5,0,70.5
2018,uuid:f7339e4b-9780-44ad-adab-07543e240b86,3,304,4,7,3,0,4,0,0,0,0,27.0
2018,uuid:6dcda63b-3d3a-4152-9a09-333058472bc1,2,205,4,7,7,0,7,4,0,0,0,44.0
2018,uuid:920e0fc1-1860-44b6-b474-e61c833ed896,3,304,3,7,5,0,7,4,3,1,5,47.5
2018,uuid:e9d783e8-5378-42f3-8787-e554bf39f5a0,2,207,4,5,4,0,6,4,0,0,3,31.5
2018,uuid:f0715b76-21c1-4410-9940-8688421b7b0e,4,401,7,7,7,0,6,7,3,0,0,47.5
2018,uuid:6def1250-5b7d-4baf-92a1-9611022ef12e,4,401,7,7,7,0,0,5,0,0,0,37.5
2018,uuid:ff796fd5-0241-411f-abb2-0170bac2f366,2,208,5,7,7,0,7,4,0,0,2,45.0
2018,uuid:70c60722-98c8-4e88-8c8c-5feb43e0e396,2,205,4,7,7,0,5,2,2,0,0,43.0
2018,uuid:0c5d055f-c956-4c6d-9614-5e8855e3a2ba,5,505,12,7,7,0,7,7,2,7,7,79.0
2018,uuid:7e3c46db-c20c-4f73-bd1c-78fc7ecb3f32,3,307,1,7,7,0,5,7,2,0,7,49.0
2018,uuid:78a9f1ac-9b5e-48ac-97b3-ddc538fea25f,3,305,4,7,7,2,7,7,2,0,4,57.5
2018,uuid:065a86d0-6d8b-4535-b042-5c4e9f265fd4,3,306,1,7,2,0,7,0,0,0,7,30.5
2018,uuid:145525c2-e0c0-4442-81de-bff330c504f5,4,401,7,7,7,1,4,7,3,0,7,53.0
2018,uuid:ed08b650-8fbd-4430-9130-e5d3494ea9c0,2,208,5,4,7,4,7,5,7,3,7,77.0
2018,uuid:f366c2a9-6615-4866-b711-9bacb7896387,2,208,5,4,7,0,5,7,0,0,0,37.5
2018,uuid:335240f4-96ec-47ca-997a-7dd0a2554922,4,405,7,4,7,0,7,2,0,0,2,38.0
2018,uuid:1c898ede-975f-4f4c-9a44-4a5f542039f8,2,208,5,4,4,0,7,0,0,1,1,31.5
2018,uuid:9f80f71c-34d1-41fa-8a90-1ee70dfd4ef4,4,403,3,7,7,0,3,1,0,0,0,38.5
2018,uuid:b7a64eb9-7867-47b4-af73-f8154d7a61be,4,401,7,7,7,0,7,7,6,7,7,83.0
2018,uuid:35b19a82-7e7b-4734-acf5-9141ecbf3d7d,4,405,9,7,7,2,7,7,7,2,3,70.0
2018,uuid:35b07e03-cac7-4f1d-a669-d8f98ffe59e4,4,404,6,7,7,0,7,7,4,3,7,65.0
2018,uuid:71bd3000-83d7-46ba-9568-f62ac56b3fe1,4,402,4,7,5,2,7,7,2,2,7,61.0
2018,uuid:24eb59eb-1065-4f27-84ab-04167a84a88b,3,307,1,7,7,3,7,7,3,3,7,76.0
2018,uuid:29568690-83a7-4213-b3b7-c0eb4ce7068b,4,402,4,7,6,1,7,7,5,4,7,71.0
2018,uuid:d767fb3e-f792-4f2e-8142-e39f0f3815e1,3,306,1,7,3,2,7,7,4,0,7,49.0
2018,uuid:b9dd483a-9447-40d0-9dc9-508fdd26e002,3,302,1,7,7,3,7,4,4,7,7,91.5
2018,uuid:a422e572-111e-401b-9ddb-3a6abcf9b5c2,2,207,5,7,7,3,7,7,4,3,7,77.0
2018,uuid:4a2d9a3b-5be7-45e8-a1b7-38017d5e32c2,3,302,1,7,7,0,4,4,1,2,7,53.5
2018,uuid:d062a494-8df5-4089-be2b-081517596fee,4,405,7,7,7,0,7,5,2,7,5,77.0
2018,uuid:fd251362-d0bc-4413-9907-2f6b6a721e7d,4,402,4,7,7,1,7,3,0,0,0,47.5
2018,uuid:0ec22d2e-8e10-4c5e-b3ea-f3a0c8de5d40,2,206,5,7,7,7,7,7,7,7,7,112.0
2018,uuid:c38ac20e-d6f5-4777-a732-a155e52b529b,3,304,2,7,7,0,3,0,0,0,0,38.0
2018,uuid:5eec6c8b-c1cc-4794-9428-08d26614fe48,4,402,6,7,7,0,7,3,0,0,0,43.5
2018,uuid:5d2bc5fc-11bd-4d72-ac43-f113b372d772,4,401,7,7,7,0,4,1,0,0,0,39.5
2018,uuid:b0471b4a-0ab0-4ed9-8e70-55286e3b7994,2,208,5,7,7,0,1,2,0,0,0,37.0
2018,uuid:9672fda0-4995-4253-84c1-36e722947b96,2,201,5,7,7,0,0,7,2,0,0,40.5
2018,uuid:c1fc823e-0433-4179-8ff9-50c124644cef,3,304,4,7,7,0,7,3,1,0,0,44.5
2018,uuid:8aacc4c2-5aa7-4862-a7bc-b3aa320b87ac,3,302,1,7,3,0,7,2,0,0,1,31.5
2018,uuid:f7714499-156b-4d55-b6b5-45d93cefc058,3,304,3,7,7,0,7,0,0,0,2,43.0
2018,uuid:4db23e64-0d81-4a50-9b76-f01765b0903a,4,402,4,7,7,0,7,3,3,0,2,47.5
2018,uuid:ac7ff997-160b-4d5f-8bbe-9db170281e41,4,405,9,7,7,0,7,7,0,0,0,45.5
2018,uuid:5c56a90f-386c-4dba-af13-9ad069c3d28e,3,304,3,7,7,0,7,3,0,7,0,71.5
2018,uuid:c5829abb-5e2d-4f79-a134-085d3963e956,4,404,6,7,7,0,4,4,0,0,2,42.0
2018,uuid:c67f68d2-3bec-4c1a-be06-21127cd28652,3,307,1,7,7,1,7,7,3,0,4,54.5
2018,uuid:005ea475-e6b3-42e4-858b-78c98e4bcd85,2,204,4,7,7,0,7,7,0,0,0,45.5
2018,uuid:f5766062-b390-4875-87f5-3511aac5c1f2,2,206,5,7,7,0,6,5,0,7,3,73.0
2018,uuid:fd8d6484-30c3-44c0-a0ec-4d76f444cf78,2,206,5,7,7,0,7,7,3,0,5,51.0
2018,uuid:4bcabdb5-0ba4-4e45-b1fb-3fa90e7febf6,2,203,5,7,7,0,1,6,0,0,0,39.0
2018,uuid:a78d73c8-454d-422c-9081-6c5b7616c383,5,502,9,7,7,0,7,2,2,0,0,45.0
2018,uuid:58a5eaaf-8e71-48c7-b3fc-18318a6a8752,4,404,6,7,7,0,3,7,0,0,0,41.5
2018,uuid:558015f9-cd7b-441d-bc55-4c679277e32f,4,403,3,7,3,0,7,3,0,0,0,31.5
2018,uuid:25bf137e-9620-4e48-94bf-187a26f39bdf,2,205,4,7,7,1,7,7,0,0,0,49.5
2018,uuid:ac416ae6-23ce-4e0f-afe7-961b52a2d897,2,205,4,7,7,0,7,2,0,0,0,43.0
2018,uuid:7ea834b7-34a4-4f08-9a18-4eb75a488c2b,3,304,3,7,7,0,7,3,0,0,0,43.5
2018,uuid:9482f63a-d351-4997-9796-7d9e49edaf15,2,205,4,7,7,0,1,7,0,0,7,43.0
2018,uuid:c44518e5-aa60-4269-96e7-232f461421d1,4,405,7,7,7,0,1,0,0,0,1,36.5
2018,uuid:4cc68fad-eda1-41ef-8f5f-ef921b2a0d7b,5,507,8,7,5,0,0,3,0,0,1,31.0
2018,uuid:5a8b7de9-5d6d-406c-8171-5dd7794ca83a,2,203,5,7,6,0,7,0,0,0,0,39.0
2018,uuid:3ca6d39d-792a-4b59-a918-cc74efa40c90,4,401,7,4,6,0,7,5,0,1,3,41.0
2018,uuid:8a2de7d2-5066-4fe5-9c68-0b1bca1990af,3,305,4,5,3,0,4,3,2,2,0,34.5
2018,uuid:515de18c-1641-4316-90f3-75417260250d,1,103,0,6,7,0,5,7,0,2,2,50.5
2018,uuid:43903ae2-4910-4454-aaa5-0628592fbfff,3,304,3,7,7,0,7,2,2,0,0,45.0
2018,uuid:28ca150c-953a-408e-9f30-abb16bdf473c,4,404,3,7,7,0,1,2,1,0,0,38.0
2018,uuid:9432a151-915d-4d0a-b198-fc04845df7c3,5,507,8,7,7,1,7,7,0,0,3,51.0
2018,uuid:28a1ad3d-5535-45b9-b541-ba7c5510595c,5,506,10,7,7,0,4,2,0,0,3,41.5
2018,uuid:e3be201c-b2ee-4a75-8821-b4c52217b56e,2,205,2,7,3,0,4,3,0,0,0,28.5
2018,uuid:111f2502-6170-41c5-8856-8edcec5e84fc,4,404,6,3,7,0,5,1,0,0,0,32.5
2018,uuid:e13075de-98a7-4ec8-819b-cfea97b2d936,1,102,9,4,5,0,6,5,0,2,0,39.5
2018,uuid:b536c809-f6e6-4ac2-bcf1-32d46e3c3398,3,302,1,5,7,0,7,7,7,0,4,50.5
2018,uuid:776cf60c-c7ba-460a-ba65-cd1f95332592,2,206,5,5,7,0,7,7,0,2,3,51.0
